2009-03-02|23.04
2009-03-03|22.67
2009-03-04|23.00
2009-03-05|22.56
2009-03-06|22.58
2009-03-09|21.72
2009-03-10|23.02
2009-03-11|23.35
2009-03-12|24.35
2009-03-13|24.27
2009-03-16|24.36
2009-03-17|25.37
2009-03-18|25.70
2009-03-19|25.60
2009-03-20|25.33
2009-03-23|26.92
2009-03-24|26.33
2009-03-25|26.18
2009-03-26|26.35
2009-03-27|26.00
2009-03-30|25.16
2009-03-31|25.20
2009-04-01|25.92
2009-04-02|26.54
2009-04-03|26.83
2009-04-06|26.59
2009-04-07|25.53
2009-04-08|25.39
2009-04-09|26.10
2009-04-13|26.02
2009-04-14|25.28
2009-04-15|25.45
2009-04-16|25.99
2009-04-17|25.95
2009-04-20|25.29
2009-04-21|25.28
2009-04-22|25.74
2009-04-23|25.50
2009-04-24|25.16
2009-04-27|25.31
2009-04-28|25.65
2009-04-29|25.52
2009-04-30|25.62
2009-05-01|26.01
2009-05-04|26.69
2009-05-05|26.50
2009-05-06|26.69
2009-05-07|25.45
2009-05-08|25.25
2009-05-11|25.36
2009-05-12|25.73
2009-05-13|25.24
2009-05-14|24.98
2009-05-15|24.88
2009-05-18|24.59
2009-05-19|24.67
2009-05-20|24.13
2009-05-21|23.67
2009-05-22|23.68
2009-05-26|24.51
2009-05-27|24.07
2009-05-28|24.63
2009-05-29|24.79
2009-06-01|24.64
2009-06-02|24.84
2009-06-03|24.46
2009-06-04|24.36
2009-06-05|24.56
2009-06-08|24.40
2009-06-09|24.21
2009-06-10|24.28
2009-06-11|24.79
2009-06-12|25.01
2009-06-15|24.63
2009-06-16|24.22
2009-06-17|24.14
2009-06-18|24.13
2009-06-19|24.04
2009-06-22|24.15
2009-06-23|24.66
2009-06-24|24.65
2009-06-25|24.85
2009-06-26|24.82
2009-06-29|25.22
2009-06-30|24.84
2009-07-01|25.07
2009-07-02|24.59
2009-07-06|24.80
2009-07-07|24.33
2009-07-08|23.54
2009-07-09|23.38
2009-07-10|23.44
2009-07-13|23.77
2009-07-14|23.45
2009-07-15|23.97
2009-07-16|23.71
2009-07-17|23.98
2009-07-20|24.42
2009-07-21|24.57
2009-07-22|24.84
2009-07-23|25.48
2009-07-24|25.45
2009-07-27|25.73
2009-07-28|25.52
2009-07-29|25.95
2009-07-30|26.34
